,column,ontologies
56,Type of side effects,"['http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/LNC/LA28318-6']"
57,Time with this treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
58,Suicidal ideas while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
59,Suicidal plans while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/247650009', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
60,Suicidal behavior while taking the drug,"['http://purl.bioontology.org/ontology/LNC/MTHU063345', 'http://purl.bioontology.org/ontology/LNC/LP411376-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/425104003', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/LNC/MTHU031771', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.bioontology.org/ontology/LNC/LP28433-8', 'http://purl.bioontology.org/ontology/LNC/MTHU013956', 'http://purl.bioontology.org/ontology/LNC/54511-1', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/LNC/LP89757-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
61,"Learning difficultes comorbidity (reading problems, dyscalculia)","['http://purl.obolibrary.org/obo/GO_0007612', 'http://purl.bioontology.org/ontology/MESH/D007858', 'http://purl.bioontology.org/ontology/SNOMEDCT/69998004', 'http://purl.bioontology.org/ontology/LNC/LP217219-7', 'http://purl.bioontology.org/ontology/LNC/MTHU053650', 'http://purl.bioontology.org/ontology/SNOMEDCT/50360004', 'http://purl.bioontology.org/ontology/LNC/106395-7', 'http://purl.bioontology.org/ontology/LNC/LA17911-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU006298', 'http://purl.bioontology.org/ontology/SNOMEDCT/55640002', 'http://purl.obolibrary.org/obo/GSSO_007210', 'http://purl.obolibrary.org/obo/HP_0002442']"
62,Age of diagnosis,"['http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://semanticscience.org/resource/SIO_001331', 'http://purl.bioontology.org/ontology/LNC/MTHU008876', 'http://purl.bioontology.org/ontology/LNC/29308-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/439401001', 'http://purl.bioontology.org/ontology/LNC/LP72437-4']"
63,Learning difficulties: table,"['http://purl.bioontology.org/ontology/SNOMEDCT/161129001', 'http://purl.bioontology.org/ontology/OMIM/MTHU000365', 'http://purl.obolibrary.org/obo/GO_0007612', 'http://purl.bioontology.org/ontology/MESH/D007858', 'http://purl.bioontology.org/ontology/SNOMEDCT/69998004', 'http://purl.bioontology.org/ontology/SNOMEDCT/86407004']"
64,Pharmacological treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/56183000', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
65,Type of drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/229753003', 'http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
