,column,ontologies
66,Drug posology,"['http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
67,Treatment effectivenes,"['http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
68,Side effects,['http://purl.bioontology.org/ontology/LNC/LA28318-6']
69,Type of side effects,"['http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/LNC/LA28318-6']"
70,Time with this treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
71,Suicidal ideas while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
72,Suicidal plans while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/247650009', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
73,Suicidal behavior while taking the drug,"['http://purl.bioontology.org/ontology/LNC/MTHU063345', 'http://purl.bioontology.org/ontology/LNC/LP411376-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/425104003', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/LNC/MTHU031771', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.bioontology.org/ontology/LNC/LP28433-8', 'http://purl.bioontology.org/ontology/LNC/MTHU013956', 'http://purl.bioontology.org/ontology/LNC/54511-1', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/LNC/LP89757-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
74,ADHD,"['http://purl.bioontology.org/ontology/OMIM/143465', 'http://purl.obolibrary.org/obo/HP_0007018', 'http://purl.bioontology.org/ontology/OMIM/MTHU059987']"
75,Age of diagnosis,"['http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://semanticscience.org/resource/SIO_001331', 'http://purl.bioontology.org/ontology/LNC/MTHU008876', 'http://purl.bioontology.org/ontology/LNC/29308-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/439401001', 'http://purl.bioontology.org/ontology/LNC/LP72437-4']"
76,ADHD: table,"['http://purl.bioontology.org/ontology/OMIM/143465', 'http://purl.obolibrary.org/obo/HP_0007018', 'http://purl.bioontology.org/ontology/OMIM/MTHU059987', 'http://purl.bioontology.org/ontology/SNOMEDCT/86407004']"
77,Pharmacological treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/56183000', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
78,Type of drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/229753003', 'http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
79,Drug posology,"['http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
80,Treatment effectivenes,"['http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
81,Side effects,['http://purl.bioontology.org/ontology/LNC/LA28318-6']
82,Type of side effects,"['http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/LNC/LA28318-6']"
83,Time with this treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
84,Suicidal ideas while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
85,Suicidal plans while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/247650009', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
86,Suicidal behavior while taking the drug,"['http://purl.bioontology.org/ontology/LNC/MTHU063345', 'http://purl.bioontology.org/ontology/LNC/LP411376-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/425104003', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/LNC/MTHU031771', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.bioontology.org/ontology/LNC/LP28433-8', 'http://purl.bioontology.org/ontology/LNC/MTHU013956', 'http://purl.bioontology.org/ontology/LNC/54511-1', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/LNC/LP89757-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
87,Conduct problems,['http://purl.bioontology.org/ontology/SNOMEDCT/844005']
88,Age of diagnosis,"['http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://semanticscience.org/resource/SIO_001331', 'http://purl.bioontology.org/ontology/LNC/MTHU008876', 'http://purl.bioontology.org/ontology/LNC/29308-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/439401001', 'http://purl.bioontology.org/ontology/LNC/LP72437-4']"
89,Conduct problems: table,"['http://purl.bioontology.org/ontology/SNOMEDCT/844005', 'http://purl.bioontology.org/ontology/SNOMEDCT/86407004']"
90,Pharmacological treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/56183000', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
91,Type of drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/229753003', 'http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
92,Drug posology,"['http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
93,Treatment effectivenes,"['http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
94,Side effects,['http://purl.bioontology.org/ontology/LNC/LA28318-6']
95,Type of side effects,"['http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/LNC/LA28318-6']"
96,Time with this treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
97,Suicidal ideas while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
98,Suicidal plans while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/247650009', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
99,Suicidal behavior while taking the drug,"['http://purl.bioontology.org/ontology/LNC/MTHU063345', 'http://purl.bioontology.org/ontology/LNC/LP411376-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/425104003', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/LNC/MTHU031771', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.bioontology.org/ontology/LNC/LP28433-8', 'http://purl.bioontology.org/ontology/LNC/MTHU013956', 'http://purl.bioontology.org/ontology/LNC/54511-1', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/LNC/LP89757-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
100,Depressive disorder,"['http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.obolibrary.org/obo/GSSO_006909', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.obolibrary.org/obo/GSSO_000488', 'http://www.orpha.net/ORDO/Orphanet_557493', 'http://purl.bioontology.org/ontology/SNOMEDCT/64572001']"
101,Age of diagnosis,"['http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://semanticscience.org/resource/SIO_001331', 'http://purl.bioontology.org/ontology/LNC/MTHU008876', 'http://purl.bioontology.org/ontology/LNC/29308-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/439401001', 'http://purl.bioontology.org/ontology/LNC/LP72437-4']"
102,Depressive disorder: table,"['http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.obolibrary.org/obo/GSSO_006909', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.obolibrary.org/obo/GSSO_000488', 'http://www.orpha.net/ORDO/Orphanet_557493', 'http://purl.bioontology.org/ontology/SNOMEDCT/64572001', 'http://purl.bioontology.org/ontology/SNOMEDCT/86407004']"
103,Pharmacological treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/56183000', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
104,Type of drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/229753003', 'http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
105,Drug posology,"['http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
106,Treatment effectivenes,"['http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
107,Side effects,['http://purl.bioontology.org/ontology/LNC/LA28318-6']
108,Type of side effects,"['http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/LNC/LA28318-6']"
109,Time with this treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
110,Suicidal ideas while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
111,Suicidal plans while taking the drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/247650009', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
112,Suicidal behavior while taking the drug,"['http://purl.bioontology.org/ontology/LNC/MTHU063345', 'http://purl.bioontology.org/ontology/LNC/LP411376-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/425104003', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.bioontology.org/ontology/LNC/MTHU031771', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.obolibrary.org/obo/GO_0007610', 'http://purl.bioontology.org/ontology/LNC/LP28433-8', 'http://purl.bioontology.org/ontology/LNC/MTHU013956', 'http://purl.bioontology.org/ontology/LNC/54511-1', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/STY/T053', 'http://purl.bioontology.org/ontology/LNC/LP89757-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
113,Tourette,[]
114,Age of diagnosis,"['http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://semanticscience.org/resource/SIO_001331', 'http://purl.bioontology.org/ontology/LNC/MTHU008876', 'http://purl.bioontology.org/ontology/LNC/29308-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/439401001', 'http://purl.bioontology.org/ontology/LNC/LP72437-4']"
